resource_id,resource_name,acronym,official_identity,description,homepage_url,data_access_url,research_areas,keywords,data_product_types,data_formats,visualization_types,geographic_coverage,covers_brazil,spatial_resolution,temporal_coverage,temporal_resolution,data_sources,free_download,access_conditions,programmatic_access,access_protocols,authentication_required,access_documentation_url,license,institutional_status,owner_or_manager,academic_uses,limitations,academic_evidence_type,academic_evidence_url,academic_evidence_note,verification_url,last_verified
DR0011,TerraBrasilis,TerraBrasilis,Plataforma de dados geográficos,Portal de acesso a dados de monitoramento da vegetação nativa produzidos pelo INPE.,https://terrabrasilis.dpi.inpe.br/,https://terrabrasilis.dpi.inpe.br/downloads/,"Ciências Ambientais e Ecologia | Agricultura, Florestas e Uso da Terra | Sensoriamento Remoto e Geoinformação",desmatamento | vegetação | uso da terra | Amazônia | Cerrado,mapas | alertas | estatísticas | dados vetoriais,Shapefile | GeoPackage | GeoTIFF | CSV | formatos variados,mapa interativo | geovisualização | gráficos | dashboard,"nacional — Brasil, com foco Amazônia e Cerrado",sim,"varia conforme PRODES, DETER e demais produtos",varia conforme o programa,diária a anual; varia,sensoriamento remoto | interpretação e modelagem INPE,sim,aberto,sim,REST API | OGC WMS/WFS | GeoNetwork,parcial,https://terrabrasilis.dpi.inpe.br/geonetwork/srv/api,licenças e termos do INPE,público,INPE / MCTI,"Acessar dados oficiais de monitoramento da vegetação nativa, especialmente PRODES e DETER, para análise de desmatamento e alertas.",PRODES e DETER respondem a objetivos diferentes e não devem ser tratados como séries equivalentes.,documentação técnica oficial,https://terrabrasilis.dpi.inpe.br/,"A infraestrutura oficial documenta acesso a PRODES, DETER e outros produtos; cada produto exige citação própria.",https://terrabrasilis.dpi.inpe.br/,2026-08-10
DR0012,Programa Queimadas / Banco de Dados de Queimadas,BDQueimadas,Programa de monitoramento por satélites e Banco de Dados de Queimadas,"Monitoramento operacional de focos de calor, risco de fogo e áreas queimadas.",https://terrabrasilis.dpi.inpe.br/queimadas/portal/,https://terrabrasilis.dpi.inpe.br/queimadas/portal/pages/secao_downloads/dados-abertos/,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Sensoriamento Remoto e Geoinformação,fogo | vegetação | clima,focos de calor | risco de fogo | mapas | séries,CSV | KML | TIFF | Shapefile,mapa interativo | geovisualização | gráficos | dashboard,Brasil e América do Sul; produtos globais selecionados,sim,varia conforme o satélite e produto,1998–presente para a série histórica de focos; varia conforme o produto,subdiária | diária | mensal,satélites meteorológicos e de observação da Terra | modelos,sim,acesso público; filtros e exportação pela interface; serviços OGC disponíveis,sim,OGC WMS/WFS | exportação filtrada,não,https://terrabrasilis.dpi.inpe.br/queimadas/portal/informacoes/perguntas-frequentes/,dados públicos; citar o Programa Queimadas/INPE,público,INPE / MCTI,"Consultar focos de calor, risco de fogo e produtos de área queimada para estudos ambientais e monitoramento operacional.","Foco de calor não é sinônimo de incêndio nem de área queimada; sensor, produto e data devem ser registrados.",artigo revisado por pares,https://doi.org/10.5380/raega.v60i0.95566,Exemplo de uso científico de dados e painéis de ocorrências de fogo; focos não equivalem a área queimada.,https://terrabrasilis.dpi.inpe.br/queimadas/portal/informacoes/perguntas-frequentes/,2026-08-10
DR0013,speciesLink,speciesLink,Rede de informação que integra dados de coleções científicas,"Rede de dados de coleções biológicas e registros de ocorrência, com foco no Brasil.",https://specieslink.net/,https://specieslink.net/search/,Biodiversidade e Conservação | Infraestruturas e Ciência de Dados,biodiversidade | espécies | coleções biológicas,ocorrências | registros de coleção | mapas | indicadores,CSV | Darwin Core | JSON | GeoJSON; varia conforme a ferramenta,mapa interativo | busca tabular | gráficos,Brasil e América do Sul,sim,ponto de ocorrência; precisão variável,histórica ao presente,por registro,coleções científicas | universidades | museus,sim,aberto,sim,REST API | HTTP GET | exportação tabular,parcial,https://specieslink.net/ws/1.0/,CC BY 4.0 para dados textuais da rede | CC BY-SA 4.0 para imagens | condições adicionais podem existir por coleção,consórcio acadêmico,CRIA e rede de coleções,"Consultar registros de coleções biológicas brasileiras e sul-americanas para taxonomia, biogeografia e história natural.","Precisão e completude dependem da coleção; a API exige apikey; condições adicionais de citação, redistribuição ou uso podem existir por coleção.",artigo revisado por pares,https://doi.org/10.1371/journal.pbio.1002204,"Descreve a importância de e-infraestruturas de biodiversidade, incluindo speciesLink, para países megadiversos.",https://specieslink.net/data_sharing_policy,2026-08-10
DR0014,Sistema de Informação sobre a Biodiversidade Brasileira,SiBBr,Sistema de Informação sobre a Biodiversidade Brasileira,Infraestrutura nacional para integração e acesso a dados sobre biodiversidade brasileira.,https://www.sibbr.gov.br/,https://www.sibbr.gov.br/,Biodiversidade e Conservação | Infraestruturas e Ciência de Dados,biodiversidade | espécies | ecossistemas,ocorrências | datasets | metadados | indicadores,Darwin Core | CSV | formatos variados,mapa interativo | busca tabular | dashboard,nacional — Brasil,sim,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,coleções | pesquisa | monitoramento | órgãos públicos,sim,aberto,desconhecido,não documentado,desconhecido,,varia conforme o dataset,público,MCTI / Governo Federal,"Localizar dados brasileiros de biodiversidade, ocorrências, coleções, projetos e metadados para ensino e pesquisa.",Parte do conteúdo também circula no GBIF; evitar contar o mesmo dataset duas vezes.,documentação técnica oficial,https://www.sibbr.gov.br/,A documentação sustenta o papel do SiBBr na integração nacional; evitar dupla contagem com registros também publicados no GBIF.,https://www.sibbr.gov.br/,2026-08-10
DR0015,Banco de Dados e Informações Ambientais,BDiA,Banco de Dados e Informações Ambientais,"Base temática do IBGE sobre geologia, geomorfologia, pedologia e vegetação.",https://bdiaweb.ibge.gov.br/,https://bdiaweb.ibge.gov.br/,"Ciências Ambientais e Ecologia | Geociências, Solos e Geografia Física | Sensoriamento Remoto e Geoinformação",solo | vegetação | geologia | geomorfologia,mapas | camadas | descrições | dados temáticos,Shapefile | GeoPackage | PDF | formatos variados,mapa interativo | geovisualização | busca tabular,nacional — Brasil,sim,varia conforme o tema e levantamento,levantamentos históricos e atuais; varia,não se aplica ou varia,levantamentos de campo | cartografia | sensoriamento remoto,sim,aberto,desconhecido,não documentado,desconhecido,https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/23382-banco-de-informacoes-ambientais.html?lang=pt-BR,licença de uso dos dados do IBGE,público,IBGE,"Obter informações oficiais de geologia, geomorfologia, pedologia e vegetação do Brasil para análise territorial e ambiental.","Para dados vetoriais, registrar escala cartográfica e fonte do levantamento, não apenas resolução aparente.",documentação técnica oficial,https://bdiaweb.ibge.gov.br/,A evidência oficial documenta temas e downloads; escala e levantamento precisam ser verificados por camada.,https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/23382-banco-de-informacoes-ambientais.html?lang=pt-BR,2026-08-10
DR0016,Cadastro Nacional de Unidades de Conservação,CNUC,Cadastro Nacional de Unidades de Conservação,Base oficial das unidades de conservação integrantes do Sistema Nacional de Unidades de Conservação.,https://www.gov.br/mma/pt-br/composicao/sbio/dap/cadastro-nacional-de-ucs/cadastro-nacional-de-ucs,https://cnuc.mma.gov.br/,Biodiversidade e Conservação | Planejamento Territorial e Políticas Públicas | Sensoriamento Remoto e Geoinformação,áreas protegidas | conservação | biodiversidade,cadastros | polígonos | tabelas | painéis,CSV | PDF | Shapefile | KML,mapa interativo | dashboard | busca tabular,nacional — Brasil,sim,limites vetoriais; precisão variável,situação vigente; conjunto atualizado em março de 2026,não se aplica,cadastros de órgãos gestores,sim,gratuito e aberto; consulta pública sem login; área restrita separada para gestores,parcial,CKAN API | HTTP download,não,https://www.gov.br/pt-br/servicos/obter-informacoes-sobre-as-unidades-de-conservacao-ambiental-nacionais,Creative Commons Atribuição,público,MMA e órgãos gestores do SNUC,"Consultar cadastro, situação e limites das unidades de conservação brasileiras para pesquisa, planejamento e conservação.",Limites e situação administrativa mudam; registrar a data de extração e o órgão responsável pelo cadastro.,documentação técnica oficial,https://dados.gov.br/dados/conjuntos-dados/unidadesdeconservacao,O conjunto oficial permite uso em estudos territoriais e de conservação; limites devem ser associados à data de extração.,https://www.gov.br/pt-br/servicos/obter-informacoes-sobre-as-unidades-de-conservacao-ambiental-nacionais,2026-08-10
DR0017,Sistema Nacional de Informações sobre Recursos Hídricos / HidroWeb,SNIRH / HidroWeb,Sistema Nacional de Informações sobre Recursos Hídricos e ferramenta HidroWeb,Acesso a estações e séries hidrometeorológicas brasileiras.,https://www.snirh.gov.br/hidroweb/,https://www.snirh.gov.br/hidroweb/,Recursos Hídricos e Oceanografia | Clima e Ciências Atmosféricas,hidrologia | clima | recursos hídricos,séries de estações | inventário de estações | mapas,CSV | TXT; varia,mapa interativo | gráficos | busca tabular,nacional — Brasil,sim,ponto de estação e bacias,histórica ao presente; varia por estação,subdiária | diária | mensal,estações fluviométricas | pluviométricas | qualidade da água,sim,downloads públicos | API mediante solicitação de credenciais,sim,REST API | download tabular,parcial,https://www.snirh.gov.br/hidroweb/acesso-api,licença específica não localizada; informações públicas da ANA,público,Agência Nacional de Águas e Saneamento Básico,"Obter séries fluviométricas, pluviométricas, meteorológicas e de qualidade da água por estação e bacia.","Falhas, mudanças de estação, consistência e período efetivo precisam ser avaliados; a API requer credenciais solicitadas à ANA.",artigo revisado por pares,https://doi.org/10.5216/ag.v10i3.35554,Avalia a qualidade e completude de séries hidrológicas disponibilizadas no HidroWeb/ANA.,https://www.gov.br/ana/pt-br/assuntos/gestao-das-aguas/politica-nacional-de-recursos-hidricos/sistema-de-informacoes-sobre-recursos-hidricos/sistema-nacional-de-informacoes-sobre-recursos-hidricos,2026-08-10
DR0018,Banco de Dados Meteorológicos do INMET,BDMEP,Banco de Dados Meteorológicos do INMET,Séries históricas observacionais das estações meteorológicas do INMET.,https://bdmep.inmet.gov.br/,https://bdmep.inmet.gov.br/,Clima e Ciências Atmosféricas,clima | meteorologia,séries de estações | tabelas,CSV,busca tabular | gráficos,nacional — Brasil,sim,ponto de estação,varia por estação,horária | diária | mensal; varia,estações meteorológicas convencionais e automáticas,sim,"download anual imediato | consulta personalizada com e-mail confirmado, seleção de estação/período/variáveis e fila; link temporário por 48 h",não,HTTP download,parcial,,termos do INMET,público,INMET,"Obter séries meteorológicas históricas de estações brasileiras para climatologia, ecologia e validação de dados remotos.","Requer confirmação por e-mail; cobertura, horários, instrumentos e completude variam; o link gerado expira em 48 horas.",artigo revisado por pares,https://doi.org/10.1371/journal.pone.0245834,Exemplo de emprego de séries do INMET em modelagem climática e evapotranspiração no Brasil.,https://bdmep.inmet.gov.br/,2026-08-10
DR0019,Google Earth Engine Data Catalog,GEE,Catálogo de dados do Google Earth Engine,Catálogo e ambiente de processamento em nuvem para dados geoespaciais.,https://developers.google.com/earth-engine/datasets,https://developers.google.com/earth-engine/datasets/catalog,Sensoriamento Remoto e Geoinformação | Infraestruturas e Ciência de Dados,sensoriamento remoto | clima | vegetação | solo | água,imagens | coleções raster e vetoriais | modelos derivados,GeoTIFF | CSV | Shapefile | GeoJSON | KML | KMZ | TFRecord; varia conforme a exportação,mapa interativo | geovisualização | pré-visualização de imagens,global,sim,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,agências espaciais | governos | pesquisa | provedores diversos,parcial,"projeto Google Cloud | registro e verificação de elegibilidade | gratuito para usos não comerciais elegíveis, sujeito a cotas",sim,JavaScript API | Python API | REST API | exportação em nuvem,sim,https://developers.google.com/earth-engine/reference/rest,varia conforme o dataset,privado,Google e provedores dos datasets,"Descobrir e processar coleções geoespaciais em nuvem para sensoriamento remoto, clima, vegetação, solo e água.",Não é a fonte original da maioria dos datasets; uso requer projeto Google Cloud e o acesso gratuito não comercial está sujeito a verificação e cotas.,artigo revisado por pares,https://doi.org/10.1016/j.rse.2017.06.031,Artigo de referência define o Earth Engine como plataforma de análise geoespacial em escala planetária.,https://developers.google.com/earth-engine/guides/access,2026-08-10
DR0020,Application for Extracting and Exploring Analysis Ready Samples,AppEEARS,Aplicação para extração e exploração de amostras prontas para análise,"Serviço para extrair e transformar subconjuntos espaciais, temporais e por camada de produtos geoespaciais de diversos arquivos federais.",https://appeears.earthdatacloud.nasa.gov/,https://appeears.earthdatacloud.nasa.gov/,Sensoriamento Remoto e Geoinformação | Infraestruturas e Ciência de Dados,sensoriamento remoto | vegetação | clima | superfície terrestre,subconjuntos raster | séries de pontos | estatísticas,GeoTIFF | NetCDF | CSV,mapa interativo | gráficos | pré-visualização de dados,global,sim,varia conforme o produto NASA,varia conforme o produto,diária a anual; varia,"arquivos federais diversos, incluindo LP DAAC | NSIDC DAAC | ORNL DAAC | USGS | National Park Service | Ocean Biology DAAC",sim,cadastro Earthdata,sim,REST API | download por recorte,sim,https://appeears.earthdatacloud.nasa.gov/api/,varia conforme o produto e provedor; consultar produto de origem,público,NASA LP DAAC,Extrair séries de pontos e subconjuntos espaciais e temporais de produtos terrestres NASA sem baixar cenas completas.,"É um serviço de extração; versão, qualidade e citação devem seguir o produto NASA de origem.",documentação técnica oficial,https://appeears.earthdatacloud.nasa.gov/api/,"A documentação descreve extração por ponto/área, formatos prontos para análise e API; aplicações aparecem dispersas por produto NASA.",https://appeears.earthdatacloud.nasa.gov/,2026-08-10
DR0021,Copernicus Climate Data Store,CDS,Climate Data Store,"Catálogo e serviço de acesso a reanálises, observações e projeções climáticas.",https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/datasets,Clima e Ciências Atmosféricas | Infraestruturas e Ciência de Dados,clima | mudanças climáticas | atmosfera | solo,reanálises | projeções | observações | indicadores,NetCDF | GRIB | ZIP; varia,mapa interativo | gráficos | busca tabular,global,sim,varia conforme o dataset,"histórica, presente e projeções",horária a anual; varia,satélites | estações | reanálises | modelos climáticos,sim,cadastro/login gratuito; aceitar a licença aplicável ao dataset antes do download,sim,CDS API | cliente Python | download HTTP,sim,https://cds.climate.copernicus.eu/how-to-api,licença Copernicus e licenças específicas,público internacional,Copernicus Climate Change Service / ECMWF,"Acessar reanálises, observações, projeções e indicadores climáticos para pesquisa, ensino e modelagem.","Termos, formatos, variáveis, resolução e atualizações são definidos no nível de cada dataset.",artigo revisado por pares,https://doi.org/10.1175/BAMS-D-21-0315.1,Descreve o Copernicus Climate Change Service e o fornecimento operacional de dados climáticos.,https://cds.climate.copernicus.eu/,2026-08-10
